year	title
1903	The Unexpected Bath
1903	Wait Till Jack Comes Home
1903	What Happened in the Tunnel
1903	Wiring Pike in a Mill Stream
1903	The Workman's Paradise
1904	Alligator Farm
1904	The Automobile Race
1904	The Chicago Fire
1904	The Child Stealers
1904	Decoyed
1904	A Ferry in the Far East
1904	Fording a Stream
1904	The Great Baltimore Fire
1904	High Diving and Reverse
1904	Hurdle Jumping
1904	An Intelligent Elephant
1904	The Monkey Bicyclist
1904	Monkey, Dog and Pony Circus
1904	Nervy Nat Kisses the Bride
1904	A Nigger in the Woodpile
1904	Parsifal
1904	The Lover's Ruse
1904	A Race for a Kiss
1904	Raid on a Coiner's Den
1904	Revenge!
1904	A Railway Tragedy
1904	Scarecrow Pump
1904	The Strenuous Life; or, Anti-Race Suicide
1904	The Suburbanite
1904	Westinghouse Works, 1904
1905	Adventures of Sherlock Holmes; or, Held for Ransom
1905	Airy Fairy Lillian Tries on Her New Corsets
1905	A Ballroom Tragedy
1905	Burglar Bill
1905	Coney Island at Night
1905	A Dog Lost, Strayed or Stolen
1905	Hippodrome Races, Dreamland, Coney Island
1905	Escape from Sing Sing
1905	The Green Goods Man; or, Josiah and Samanthy's Experience with the Original 'American Confidence Game'
1905	The Great Jewel Mystery
1905	I.B. Dam and the Whole Dam Family
1905	The Kleptomaniac
1905	Impersonation of Britt-Nelson Fight
1905	New York Subway
1905	The Nihilists
1905	Moving Day; or, No Children Allowed
1905	License No. 13; or, The Hoodoo Automobile
1905	Life of an American Policeman
1905	The Little Train Robbery
1905	The Night Before Christmas
1905	A Kentucky Feud
1905	Peeping Tom in the Dressing Room
1905	The Newsboy
1905	A Policeman's Love Affair
1905	The Rat Trap Pickpocket Detector
1905	Reuben in the Opium Joint
1905	Raffles the Dog
1905	Raffles the Amateur Cracksman
1905	The Seven Ages
1905	The Servant Girl Problem
1905	The Train Wreckers
1905	Tom, Tom, the Piper's Son
1905	Watermelon Patch
1905	The Whole Dam Family and the Dam Dog
1905	The Vanderbilt Auto Race
1906	The Automobile Thieves
1906	Dream of a Rarebit Fiend
1906	From Leadville to Aspen: A Hold-Up in the Rockies
1906	Humorous Phases of Funny Faces
1906	Kathleen Mavourneen
1906	A Trip Down Market Street
1906	Waiting at the Church
1907	Amateur Night; or, Get the Hook
1907	Ben-Hur
1907	Daniel Boone
1907	How Brown Saw the Baseball Game
1907	Laughing Gas
1907	Terrible Ted
1907	The Tired Tailor's Dream
1908	The Adventures of Dollie
1908	Antony and Cleopatra
1908	Balked at the Altar
1908	The Black Viper
1908	The Call of the Wild
1908	A Christmas Carol
1908	Dr. Jekyll and Mr. Hyde
1908	The Fairylogue and Radio-Plays
1908	The Fight for Freedom
1908	Hamlet
1908	Macbeth
1908	Money Mad
1908	The Red Man and the Child
1908	Romeo and Juliet
1908	The Taming of the Shrew
1908	The Tavern Keeper's Daughter
1909	One Touch of Nature
1909	Cure for Bashfulness
1909	A Sister's Love: A Tale of the Franco-Prussian War
1909	A Sister's Love
1909	The Maniac Cook
1909	The Haunted Lounge
1909	The Tenderfoot
1909	Mrs. Jones Entertains
1909	The Honor of Thieves
1909	Love Finds a Way
1909	The Castaways
1909	Where Is My Wandering Boy Tonight?
1909	A Rural Elopement
1909	The Sacrifice
1909	The Criminal Hypnotist
1909	Those Boys!
1909	The Fascinating Mrs. Francis
1909	Mr. Jones Has a Card Party
1909	A Colonial Romance
1909	Those Awful Hats
1909	The Welcome Burglar[1]
1909	The Love of the Pasha's Son: A Turkish Romance
1909	The Cord of Life[1]
1909	A B C's of the U.S.A.
1909	The Girls and Daddy[1]
1909	The Deacon's Love Letters
1909	The Brahma Diamond
1909	Edgar Allan Poe
1909	A Wreath in Time
1909	Tragic Love
1909	Jessie, the Stolen Child
1909	The Curtain Pole[1]
1909	His Ward's Love
1909	A Daughter of the Sun
1909	The Honor of the Slums
1909	Tag Day
1909	The Hindoo Dagger
1909	The Joneses Have Amateur Theatricals
1909	C.Q.D.; or, Saved by Wireless; a True Story of the Wreck of the Republic
1909	The Golden Louis
1909	The Politician's Love Story
1909	At the Altar
1909	The Poor Musician
1909	His Wife's Mother
1909	The Prussian Spy
1909	A Fool's Revenge
1909	The Mad Miner
1909	The Old Soldier's Story
1909	The Wooden Leg
1909	Adventures of a Drummer Boy
1909	The Salvation Army Lass
1909	Kenilworth
1909	I Did It
1909	The Lure of the Gown
1909	The Road Agents
1909	Boots and Saddles
1909	The Voice of the Violin
1909	The Cracker's Bride
1909	A Brave Irish Lass
1909	A Friend in the Enemy's Camp
1909	And a Little Child Shall Lead Them
1909	The Deception
1909	Cohen at Coney Island
1909	Cohen's Dream
1909	The Energetic Street Cleaner
1909	Midnight Disturbance
1909	A Burglar's Mistake
1909	King Lear
1909	Jones and His New Neighbors
1909	The Medicine Bottle
1909	A Drunkard's Reformation
1909	The Road to the Heart
1909	Trying to Get Arrested
1909	The Life of Napoleon
1909	Napoleon and the Empress Josephine
1909	A Tale of the West
1910	Abraham Lincoln's Clemency
1910	As It Is In Life
1910	A Christmas Carol
1910	Frankenstein
1910	The Fugitive
1910	Gentleman Joe
1910	Hemlock Hoax, the Detective
1910	The House with Closed Shutters
1910	In Old California
1910	In the Border States
1910	A Lad from Old Ireland
1910	Pocahontas
1910	Pride of the Range
1910	Ramona
1910	Roosevelt in Africa
1910	Rose O'Salem-Town
1910	The Sanitarium
1910	The Two Brothers
1910	The Unchanging Sea
1910	What the Daisy Said
1910	The Wonderful Wizard of Oz
1911	Baseball and Bloomers
1911	The Black Arrow: A Tale of the Two Roses
1911	Brown of Harvard
1911	Cally's Comet
1911	The Coffin Ship
1911	The Colonel and the King
1911	Courting Across the Court
1911	The Cowboy and the Lady
1911	Flames and Fortune
1911	For Her Sake
1911	Her Awakening
1911	The Higher Law
1911	David Copperfield
1911	The Last of the Mohicans
1911	The New Superintendent
1911	The Pasha's Daughter
1911	Princess Clementina
1911	The Railroad Builder
1911	The Smuggler
1911	Sweet Memories
1911	A Tale of Two Cities
1911	That's Happiness
1911	The Voice of the Child
1911	Won by Wireless
1912	All for a Girl
1912	At the Foot of the Ladder
1912	Aurora Floyd
1912	Baby Hands
1912	The Bandit of Tropico
1912	A Battle of Wits
1912	The Belle of Bar-Z Ranch
1912	A Business Buccaneer
1912	Charge of the Light Brigade
1912	Conductor 786
1912	The County Fair
1912	The Cry of the Children
1912	The Deserter
1912	Dr. Jekyll and Mr. Hyde
1912	Frankfurters and Quail
1912	From the Manger to the Cross
1912	The Half-Breed's Way
1912	His Only Son
1912	It Happened Thus
1912	The Land Beyond the Sunset
1912	A Leap for Love
1912	The Little Girl Next Door
1912	The Musketeers of Pig Alley
1912	A New Cure for Divorce
1912	The New York Hat
1912	Petticoat Camp
1912	Please Help the Pore
1912	The Power of Melody
1912	Put Yourself in His Place
1912	Saved from the Titanic
1912	A Six Cylinder Elopement
1912	Standing Room Only
1912	The Street Singer
1912	The Tell-Tale Message
1912	The Thunderbolt
1912	An Unseen Enemy
1912	The Voice of Conscience
1912	What Happened to Mary?
1912	When the Heart Calls
1912	With the Mounted Police
1912	The Young Millionaire
1913	The Adventures of Kathlyn
1913	American Born
1913	Article 47, L'
1913	Atlantis
1913	Barney Oldfield's Race for a Life
1913	Beautiful Bismark
1913	Bianca
1913	Bob's Baby
1913	The Caged Bird
1913	Calamity Ann's Beauty
1913	Calamity Ann's Dream
1913	Calamity Anne's Inheritance
1913	Calamity Ann's Vanity
1913	Calamity Ann, Heroine
1913	Cohen Saves the Flag
1913	The Cub Reporter's Temptation
1913	Cupid in a Dental Parlor
1913	A Desperate Chance
1913	Dr. Jekyll and Mr. Hyde
1913	The Evidence of the Film
1913	The Face at the Window
1913	His Chum the Baron
1913	Hulda of the Netherlands
1913	Hurricane in Galveston
1913	In the Secret Service
1913	A Little Hero
1913	The Old Monk's Tale
1913	The Quakeress
1913	Rory o' the Bogs
1913	The Twelfth Juror
1914	The Amateur Detective
1914	The Archeologist
1914	At the Potter's Wheel
1914	The Avenging Conscience
1914	Back to the Farm
1914	The Baggage Smasher
1914	The Bargain
1914	Barnyard Flirtations
1914	A Bath House Beauty
1914	The Beggar Child
1914	Between Showers
1914	Billy's Rival
1914	A Blowout at Santa Banana
1914	The Body in the Trunk
1914	Break, Break, Break
1914	Brewster's Millions
1914	Brute Force
1914	Business Versus Love
1914	A Busy Day
1914	The Butterfly
1914	Calamity Anne's Love Affair
1914	The Call of the Traumerei
1914	The Cameo of the Yellowstone
1914	Captain Alvarez
1914	Caught in a Cabaret
1914	Caught in the Rain
1914	The Certainty of Man
1914	Cinderella
1914	The Cocoon and the Butterfly
1914	The Combination of the Safe
1914	The Coming of the Padres
1914	Cruel, Cruel Love
1914	Damaged Goods
1914	David Gray's Estate
1914	Destinies Fulfilled
1914	Does It End Right?
1914	Dough and Dynamite
1914	The Escape
1914	The Exploits of Elaine
1914	The Face on the Bar Room Floor
1914	The Fatal Mallet
1914	Fate's Decree
1914	Feast and Famine
1914	A Film Johnnie
1914	The Final Impulse
1914	The Floor Above
1914	A Florida Enchantment
1914	In the Footprints of Mozart
1914	Gentlemen of Nerve
1914	Gertie the Dinosaur
1914	Getting Acquainted
1914	The Ghost Breaker
1914	The Girl in the Shack
1914	A Good Little Devil
1914	The Green-Eyed Devil
1914	A Happy Coersion
1914	The Hazards of Helen
1914	Her Friend the Bandit
1914	Her Younger Sister
1914	His Faith in Humanity
1914	His Father's Rifle
1914	His Favourite Pastime
1914	His Majesty, the Scarecrow of Oz
1914	His Musical Career
1914	His New Profession
1914	His Prehistoric Past
1914	His Trysting Place
1914	Home, Sweet Home
1914	The Hunchback
1914	Imar the Servitor
1914	In Tune
1914	In the Candlelight
1914	In the Land of the Head Hunters
1914	In the Open
1914	Jail Birds
1914	Judith of Bethulia
1914	The Jungle
1914	Kid Auto Races at Venice
1914	The Kiss
1914	The Knockout
1914	Laughing Gas
1914	The Life of General Villa
1914	Little Lord Fauntleroy
1914	A Little Madonna
1914	The Livid Flame
1914	The Lost Sermon
1914	Love and Bullets
1914	The Lover's Gift
1914	Lucille Love, Girl of Mystery
1914	The Lure of the Sawdust
1914	Mabel at the Wheel
1914	Mabel's Busy Day
1914	Mabel's Married Life
1914	Mabel's Strange Predicament
1914	The Magic Cloak of Oz
1914	Making a Living
1914	The Man from Home
1914	A Man's Way
1914	The Masquerader
1914	The Master Mind
1914	Mein Lieber Katrina
1914	Michael Strogoff (1914 film)
1914	Mein Lieber Katrina Catches a Convict
1914	The Mystery of the Hindu Image
1914	Nature's Touch
1914	The Navy Aviator
1914	Neptune's Daughter
1914	The New Janitor
1914	Old Enough to Be Her Grandpa
1914	The Only Son
1914	The Patchwork Girl of Oz
1914	The Perils of Pauline
1914	The Power of Light
1914	The Property Man
1914	Recreation
1914	Redbird Wins
1914	The Redemption of a Pal
1914	The Rose Bush of Memories
1914	Rose of the Rancho
1914	Rosemary, That's for Remembrance
1914	The Rounders
1914	Salomy Jane
1914	Samson
1914	Shotgun Jones
1914	Should a Woman Divorce?
1914	Sir Galahad of Twilight
1914	The Sleeping Sentinel
1914	A Slice of Life
1914	The Son of Thomas Gray
1914	The Song of the Sea Shell
1914	A Soul Astray
1914	The Sower Reaps
1914	Sparrow of the Circus
1914	The Spoilers
1914	The Squaw Man
1914	The Star Boarder
1914	A Story of Little Italy
1914	The Story of the Olive
1914	The Strength o' Ten
1914	A Study in Scarlet
1914	Sweet and Low
1914	Such a Little Queen
1914	The Taming of Sunnybrook Nell
1914	Tango Tangles
1914	The Telltale Knife
1914	The Ten of Spades
1914	Tess of the Storm Country
1914	Their Worldly Goods
1914	This Is th' Life
1914	Those Love Pangs
1914	A Ticket to Red Horse Gulch
1914	Tillie's Punctured Romance
1914	To Be Called For
1914	The Town of Nazareth
1914	True Western Hearts
1914	A Turn of the Cards
1914	Twenty Minutes of Love
1914	Uncle Tom's Cabin (1914 film)
1914	The Unmasking
1914	Unto the Weak
1914	The Virginian
1914	When a Woman Waits
1914	The Widow's Investment
1914	The Wishing Ring
1914	The Wrath of the Gods
1914	The Wrong Birds
1915	After Five
1915	After the Storm
1915	Anna Karenina
1915	The Arab
1915	The Assayer of Lone Gap
1915	Auntie's Portrait
1915	The Barren Gain
1915	Beyond His Fondest Hopes
1915	Birth of a Nation
1915	The Blot on the Shield
1915	The Bluffers
1915	Buckshot John
1915	Bughouse Bellhops
1915	Burlesque on Carmen
1915	The Captive
1915	Carmen
1915	Carmen
1915	The Champion
1915	The Cheat
1915	Chimmie Fadden
1915	Chimmie Fadden Out West
1915	Close-Cropped Clippings
1915	The Commuters
1915	Competition
1915	Court House Crooks
1915	The Day of Reckoning
1915	Double Trouble
1915	Drawing the Line
1915	Enoch Arden
1915	The Exile of Bar-K Ranch
1915	Fatty's Tintype Tangle
1915	A Fool There Was
1915	A Foozle at the Tee Party
1915	Four Feathers
1915	From Italy's Shores
1915	Fresh from the Farm
1915	The Girl of the Golden West
1915	Giving Them Fits
1915	The Golden Chance
1915	A Good Business Deal
1915	Great While It Lasted
1915	Hearts in Shadow
1915	His New Job
1915	The Honor of the District Attorney
1915	The Hungry Actors
1915	The Immigrant
1915	In The Park
1915	In Trust
1915	Inspiration
1915	The Italian
1915	Just Nuts
1915	Kindling
1915	The Lamb
1915	The Little Lady Next Door
1915	Lonesome Luke, Social Gangster
1915	Love, Loot and Crash
1915	Mabel and Fatty Viewing the World's Fair at San Francisco
1915	The Man from Texas
1915	Martyrs of the Alamo
1915	A Mixup for Mazie
1915	To Melody a Soul Responds
1915	Mountain Mary
1915	The Newer Way
1915	Peculiar Patients' Pranks
1915	Pete, the Pedal Polisher
1915	The Poet of the Peaks
1915	Pool Sharks
1915	Profit from Loss
1915	A Question of Honor
1915	Ragtime Snap Shots
1915	The Raven
1915	Regeneration
1915	To Rent Furnished
1915	The Ring of Destiny
1915	Ruses, Rhymes and Roughnecks
1915	She Walketh Alone
1915	The Silver Lining
1915	The Smuggler's Cave
1915	The Solution to the Mystery
1915	Some Baby
1915	The Soul of Broadway
1915	The Spirit of Adventure
1915	Spit-Ball Sadie
1915	Stingaree
1915	A Submarine Pirate
1915	The Substitute Minister
1915	Temptation
1915	Terribly Stuck Up
1915	Their Social Splash
1915	Tinkering with Trouble
1915	The Toast of Death
1915	The Tramp
1915	The Two Orphans
1915	The Unafraid
1915	The Vampire (1915 film)
1915	The Warrens of Virginia
1915	The Wasp
1915	The Wild Goose Chase
1915	Willie Runs the Park
1915	Work
1916	20,000 Leagues Under the Sea
1916	A La Cabaret
1916	The Abandonment
1916	The Americano
1916	Arthur's Desperate Resolve
1916	The Aryan
1916	Behind the Screen
1916	Billy's War Brides
1916	The Broken Cross
1916	Broken Fetters
1916	The Bruiser
1916	Civilization
1916	The Count
1916	The Craving
1916	The Curse of Quon Gwon
1916	A Daughter of the Gods
1916	The Decoy
1916	Divorce and the Daughter
1916	The Dream Girl
1916	Dulcie's Adventure
1916	Energetic Eva
1916	The Fate of the Dolphin
1916	Fatty and Mabel Adrift
1916	Felix on the Job
1916	The Fireman
1916	The Floorwalker
1916	The Gamble
1916	The Gentle Art of Burglary
1916	The Grey Sisterhood
1916	The Habit of Happiness
1916	He Wrote a Book
1916	The Heart of Nora Flynn
1916	Hell's Hinges
1916	The Highest Bid
1916	His Picture
1916	Hoodoo Ann
1916	Hulda from Holland
1916	The Innocent Lie
1916	Intolerance
1916	Joan the Woman
1916	La Bohème
1916	The League of the Future
1916	Lights of New York
1916	Lillo of the Sulu Seas
1916	Lonesome Luke Leans to the Literary
1916	Lonesome Luke Lolls in Luxury
1916	Lonesome Luke, Circus King
1916	The Love Hermit
1916	Luke and the Bang-Tails
1916	Luke and the Bomb Throwers
1916	Luke and the Mermaids
1916	Luke and the Rural Roughnecks
1916	Luke Does the Midway
1916	Luke Foils the Villain
1916	Luke Joins the Navy
1916	Luke Laughs Last
1916	Luke Locates the Loot
1916	Luke Lugs Luggage
1916	Luke Pipes the Pippins
1916	Luke Rides Roughshod
1916	Luke, Crystal Gazer
1916	Luke, Patient Provider
1916	Luke, Rank Impersonator
1916	Luke, the Candy Cut-Up
1916	Luke, the Chauffeur
1916	Luke, the Gladiator
1916	Luke's Double
1916	Luke's Fatal Flivver
1916	Luke's Fireworks Fizzle
1916	Luke's Late Lunchers
1916	Luke's Lost Lamb
1916	Luke's Movie Muddle
1916	Luke's Newsie Knockout
1916	Luke's Preparedness Preparations
1916	Luke's Shattered Sleep
1916	Luke's Society Mixup
1916	Luke's Speedy Club Life
1916	Luke's Washful Waiting
1916	Madame X
1916	The Man Who Would Not Die
1916	The Man in the Sombrero
1916	Maria Rosa
1916	Matching Dreams
1916	A Message to Garcia
1916	The Moonshiners
1916	Oliver Twist
1916	One A.M.
1916	The Other Side of the Door
1916	The Pawnshop
1916	Police
1916	Ramona
1916	The Release of Dan Forbes
1916	The Rink
1916	A Sanitarium Scramble
1916	The Secret Wire
1916	Sequel to the Diamond from the Sky
1916	Shadows
1916	Sherlock Holmes
1916	The Smugglers of Santa Cruz
1916	Snow White
1916	A Society Sherlock
1916	A Soul at Stake
1916	The Soul's Cycle
1916	Stampede in the Night
1916	The Stepping Stone
1916	The Strength of Donald McKenzie
1916	Them Was the Happy Days!
1916	The Thoroughbred
1916	Three Fingered Jenny
1916	Time and Tide
1916	To Have and to Hold
1916	The Torch Bearer
1916	The Trail of the Lonesome Pine
1916	True Nobility
1916	The Twinkler
1916	Two Seats at the Opera
1916	Under Two Flags
1916	The Undertow
1916	The Vagabond
1916	Verdens Undergang
1916	Vice Versa
1916	Viviana
1916	Where Are My Children?
1916	The White Rosette
1916	The Wings
1916	Youth's Endearing Charm
1917	The Adventurer
1917	All Aboard
1917	As Men Love
1917	The Bad Boy
1917	Bashful
1917	The Big Idea
1917	Birds of a Feather
1917	Bliss
1917	Bucking Broadway
1917	The Butcher Boy
1917	By the Sad Sea Waves
1917	Camille
1917	Cleopatra
1917	Clubs Are Trump
1917	Coney Island
1917	The Cure
1917	The Devil-Stone
1917	Easy Street
1917	Enlighten Thy Daughter
1917	The Flirt
1917	From Laramie to London
1917	Golden Rule Kate
1917	Great Expectations
1917	The Gulf Between
1917	Her Right to Live
1917	His Wedding Night
1917	The Immigrant
1917	In Again, Out Again
1917	A Kentucky Cinderella
1917	The Little American
1917	The Little Princess
1917	Lonesome Luke, Lawyer
1917	Lonesome Luke, Mechanic
1917	Lonesome Luke, Messenger
1917	Lonesome Luke, Plumber
1917	Lonesome Luke Loses Patients
1917	Lonesome Luke on Tin Can Alley
1917	Lonesome Luke's Honeymoon
1917	Lonesome Luke's Lively Life
1917	Lonesome Luke's Lovely Rifle
1917	Lonesome Luke's Wild Women
1917	Lost and Won
1917	Love, Laughs and Lather
1917	Luke Wins Ye Ladye Faire
1917	Luke's Busy Day
1917	Luke's Lost Liberty
1917	Luke's Trolley Troubles
1917	The Man Without a Country
1917	Move On
1917	Oh Doctor!
1917	Over the Fence
1917	Pinched
1917	The Poor Little Rich Girl
1917	Rainbow Island
1917	Rebecca of Sunnybrook Farm
1917	A Reckless Romeo
1917	A Romance of the Redwoods
1917	The Rough House
1917	Souls Triumphant
1917	Step Lively
1917	Stop! Luke! Listen!
1917	Straight Shooting
1917	A Strange Transgressor
1917	Teddy at the Throttle
1917	Tom Sawyer
1917	The Tornado
1917	We Never Sleep
1917	Wild and Woolly
1917	The Wild Girl
1917	The Woman God Forgot
1918	The Accident Attorney
1918	The Accusing Toe
1918	All Woman
1918	Amarilly of Clothes-Line Alley
1918	America's Answer
1918	Among the Cannibal Isles of the South Pacific
1918	Are Crooks Dishonest?
1918	Arizona
1918	Back to the Woods
1918	Beat It
1918	Bees in His Bonnet
1918	Believe Me, Xantippe
1918	The Bell Boy
1918	The Blue Bird
1918	The Bond
1918	Bound in Morocco
1918	Bride and Gloom
1918	Bud's Recruit
1918	The Chocolate of the Gang
1918	The City of Dim Faces
1918	The City Slicker
1918	The Cook
1918	A Dog's Life
1918	The Embarrassment of Riches
1918	The Eyes of Julia Deep
1918	Fireman Save My Child
1918	Follow the Crowd
1918	A Gasoline Wedding
1918	The Ghost of Slumber Mountain
1918	The Goddess of Lost Lake
1918	Headin' South
1918	Hear 'Em Rave
1918	The Heart of Humanity
1918	Hearts of the World
1918	Here Come the Girls
1918	Hey There!
1918	Hit Him Again
1918	The House of Mirth
1918	Huck and Tom
1918	I'm a Man
1918	It's a Wild Life
1918	Kicked Out
1918	Kicking the Germ Out of Germany
1918	The Lamb
1918	Let's Go
1918	The Light of the Western Stars
1918	Look Pleasant, Please
1918	The Lost Lie
1918	Men Who Have Made Love to Me
1918	Mickey
1918	Moonshine
1918	Nine-Tenths of the Law
1918	Nocturnal Tunes
1918	The Non-Stop Kid
1918	Nothing But Trouble
1918	On the Jump
1918	Out of the Inkwell
1918	Out West
1918	An Ozark Romance
1918	Pipe the Whiskers
1918	The Richest Girl
1918	The Romance of Tarzan
1918	Salomé
1918	She Loves Me Not
1918	Shoulder Arms
1918	Sic 'Em, Towser
1918	The Sinking of the Lusitania
1918	Somewhere in Turkey
1918	Stella Maris
1918	Swing Your Partners
1918	Tad's Swimming Hole
1918	Take a Chance
1918	Tarzan of the Apes
1918	That's Him
1918	The Tip
1918	Triple Trouble
1918	Two-Gun Gussie
1918	Two Scrambled
1918	Under the Yoke
1918	Under the Greenwood Tree
1918	Why Pick on Me?
1919	Anne of Green Gables
1919	Ask Father
1919	At the Old Stage Door
1919	The Avalanche
